Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,NoiseDuration,RT,Accuracy,experiment,Clock,dataOneMinPress
1,1,1,2240.jpg,0.0187023150001551,0.650184330000002,2.74663144700003,2.09644711700003,NaN,1,0,,
2,1,1,4656.jpg,2.7628980290001,3.39470627000014,4.59227982800007,1.19757355799993,NaN,1,0,,
3,1,1,5622.jpg,4.6085471450001,5.24050567400013,7.53505812399999,2.29455244999986,NaN,1,0,,
4,1,1,4534.jpg,7.55187175500009,8.18374980800013,8.981780437,0.798030628999868,NaN,1,0,,
5,1,1,4531.jpg,8.99840697600007,9.63006577100009,12.0247528510001,2.39468708000004,NaN,1,0,,
6,1,1,4640.jpg,12.040663451,12.6730728350001,13.3713611980002,0.698288363000074,NaN,1,0,,
7,1,1,7230.jpg,13.388106095,14.019899416,16.214852415,2.19495299899995,NaN,1,0,,
8,1,1,7460.jpg,16.231172454,16.8630895190001,19.257544158,2.39445463899983,NaN,1,0,,
9,1,1,4608.jpg,19.273803221,19.9059980530001,20.803921405,0.897923351999907,NaN,1,0,,
10,1,1,7450.jpg,20.8204326600001,21.4521971930001,24.345712416,2.89351522299989,NaN,1,0,,
11,1,1,7450.jpg,24.362178309,24.993959785,26.390654455,1.39669466999999,NaN,0,0,,
12,1,1,1720.jpg,26.4073634640001,27.0391336950001,28.8349795450001,1.79584584999998,NaN,1,0,,
13,1,1,7430.jpg,28.8516540340001,29.483468764,32.276823592,2.79335482800002,NaN,1,0,,
14,1,1,7351.jpg,32.2935330510002,32.92519118,33.9229889980002,0.997797818000208,NaN,1,0,,
15,1,1,7351.jpg,33.9395531110001,34.571423929,35.9680669250001,1.39664299600008,NaN,0,0,,
16,1,1,5270.jpg,35.9849053630001,36.616810776,39.110521524,2.49371074800001,NaN,1,0,,
17,1,1,7340.jpg,39.1273609249999,39.7592965860001,42.1534760510001,2.39417946499998,NaN,1,0,,
18,1,1,7402.jpg,42.169225828,42.8016255130001,45.3959052709999,2.59427975799986,NaN,1,0,,
19,1,1,4611.jpg,45.4121673700001,46.044398859,48.139577228,2.095178369,NaN,1,0,,
20,1,1,5628.jpg,48.1562391780001,48.7879726149999,50.683114011,1.8951413960001,NaN,1,0,,
21,1,1,4651.jpg,50.700087362,51.331676475,54.025725768,2.69404929300003,NaN,1,0,,
22,1,1,7350.jpg,54.0419903690001,54.6741898530001,56.6694547030002,1.99526485000001,NaN,1,0,,
23,1,1,7330.jpg,56.685914831,57.3177867310001,59.1137283110002,1.79594158000009,NaN,1,0,,
24,1,1,4653.jpg,59.1303730540001,59.761987585,62.355968912,2.59398132699994,NaN,1,0,,
1,1,1,2240.jpg,0.0152703199998996,0.647327829000005,3.54024918000005,2.89292135100004,NaN,1,1,,
2,1,1,4656.jpg,3.55701326899998,4.18878942299989,6.1843723259999,1.99558290300001,NaN,1,1,,
3,1,1,1720.jpg,6.20096161800006,6.83268376799992,9.52619782400006,2.69351405600014,NaN,1,1,,
4,1,1,7330.jpg,9.54295451999997,10.1746431890001,11.2722506380001,1.09760744899995,NaN,1,1,,
5,1,1,7330.jpg,11.288951258,11.9209523469999,13.915837714,1.99488536700005,NaN,0,1,,
6,1,1,5628.jpg,13.932530241,14.564299138,17.2579477229999,2.69364858499989,NaN,1,1,,
7,1,1,7350.jpg,17.274673016,17.906567168,18.7048193200001,0.798252152000032,NaN,1,1,,
8,1,1,5622.jpg,18.720429534,19.353031313,21.8474214729999,2.49439015999997,NaN,1,1,,
9,1,1,7430.jpg,21.8629130039999,22.495523669,24.291342038,1.79581836900002,NaN,1,1,,
10,1,1,7430.jpg,24.308141768,24.9398520709999,25.937587997,0.997735926000132,NaN,0,1,,
11,1,1,7230.jpg,25.953957234,26.585120532,28.581310327,1.99618979499996,NaN,1,1,,
12,1,1,7460.jpg,28.598126198,29.2296876800001,30.3272882910001,1.09760061099996,NaN,1,1,,
13,1,1,4651.jpg,30.343852729,30.9759280220001,32.072994759,1.09706673699998,NaN,1,1,,
14,1,1,4653.jpg,32.0897741010001,32.7217167599999,33.4200096229999,0.698292863000006,NaN,1,1,,
15,1,1,4608.jpg,33.4366096230001,34.0681152929999,35.6647057170001,1.59659042400017,NaN,1,1,,
16,1,1,7340.jpg,35.681321392,36.3131287240001,39.006652689,2.69352396499994,NaN,1,1,,
17,1,1,7402.jpg,39.023498752,39.655322182,42.447709328,2.79238714600001,NaN,1,1,,
18,1,1,4531.jpg,42.4652581590001,43.097088919,44.0946729949999,0.997584075999839,NaN,1,1,,
19,1,1,7450.jpg,44.1115441960001,44.7432436070001,46.3396037150001,1.596360108,NaN,1,1,,
20,1,1,4534.jpg,46.356168342,46.9878958080001,47.686161892,0.698266083999897,NaN,1,1,,
21,1,1,7351.jpg,47.7030144959999,48.3343980080001,51.0286156909999,2.69421768299981,NaN,1,1,,
22,1,1,4611.jpg,51.0452817979999,51.676967308,53.0735593490001,1.39659204100008,NaN,1,1,,
23,1,1,5270.jpg,53.0905265660001,53.722088454,54.419573633,0.697485179000068,NaN,1,1,,
24,1,1,4640.jpg,54.436383859,55.068884413,58.061760716,2.992876303,NaN,1,1,,
25,1,1,7340.jpg,58.078434323,58.7104060930001,61.6033263510001,2.892920258,NaN,1,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
