Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,RT,Accuracy,Clock,dataOneMinPress
1,1,1,033.jpg,0.0184504159988137,0.833589869995194,1.04998793399864,NaN,1,,
2,1,1,041.jpg,1.06660950799414,1.59870034999767,2.19710899100028,NaN,1,,
3,1,1,035.jpg,2.21400936199643,2.76177063700015,5.04055465899728,NaN,1,2.64626096099528,
4,1,1,036.jpg,5.05708196199703,5.58903080899472,7.38402876300097,NaN,1,,
5,1,1,071.jpg,7.40153598699544,7.93387404999521,9.33041028899606,NaN,1,,
6,1,1,070.jpg,9.346233819997,9.87928593000106,10.2782160469942,NaN,1,,
7,1,1,070.jpg,10.2950048919956,10.8268805089974,11.3255580679979,0.764849406004942,1,,
8,1,1,031.jpg,11.342253994997,11.8744342009959,12.0736868819949,NaN,1,,
9,1,1,061.jpg,12.0902237289993,12.6226618989967,14.9171862949952,NaN,1,,
10,1,1,067.jpg,14.9337179360009,15.4659711659988,17.2615824609966,NaN,1,,
11,1,1,034.jpg,17.2782323049978,17.8103425070003,19.2073324849989,NaN,1,,
12,1,1,039.jpg,19.2234989589997,19.7558508729999,20.5538914799981,NaN,1,,
13,1,1,074.jpg,20.5704097199996,21.1026245219982,21.5008911920013,NaN,1,,
14,1,1,043.jpg,21.518232137998,22.0504499210001,23.6467096589986,NaN,1,22.9818175569962,
15,1,1,042.jpg,23.6628057089983,24.1952739150001,26.6884973439956,NaN,1,,
16,1,1,063.jpg,26.7061057929968,27.2379390959977,27.6372859879993,NaN,1,,
17,1,1,062.jpg,27.6537407299984,28.1855597969989,28.7847244559962,NaN,1,,
18,1,1,072.jpg,28.8011152549952,29.3331181729955,30.3309858749999,NaN,1,,
