Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,RT,Accuracy,Clock,dataOneMinPress
1,1,0,024.jpg,0.0115595589995792,0.544221562999155,2.63938449899797,NaN,1,,
2,1,0,057.jpg,2.65576666199922,3.18791619900003,3.68680986399704,NaN,1,,
3,1,0,060.jpg,3.70347308099736,4.23553442999764,5.83181118900029,NaN,1,,
4,1,0,016.jpg,5.84850286700021,6.38068586000009,7.97692694099896,NaN,1,,
5,1,0,027.jpg,7.99320250199889,8.52540982599749,8.92441128399878,NaN,1,,
6,1,0,019.jpg,8.94104237699867,9.47320969499924,9.97229471500032,NaN,1,,
7,1,0,052.jpg,9.98863066599733,10.5202797329985,12.017294715999,NaN,1,,
8,1,0,026.jpg,12.0340232130002,12.5661326299996,13.8629633019991,NaN,1,,
9,1,0,021.jpg,13.8796987709975,14.4114430859991,14.7109191359996,NaN,1,,
10,1,0,021.jpg,14.7275115589982,15.2597674589997,17.5540020259978,NaN,0,,
11,1,0,047.jpg,17.5702639349984,18.1030677849994,19.4997523120001,NaN,1,,
12,1,0,049.jpg,19.5160849169988,20.0484834620001,22.1434024230002,NaN,1,,
13,1,0,022.jpg,22.1601642690002,22.6922454429987,24.886880525999,NaN,1,,
14,1,0,055.jpg,24.9037019999996,25.4354309299997,27.430929995,NaN,1,,
15,1,0,020.jpg,27.4473808319999,27.9795576889992,29.2765532189987,NaN,1,,
16,1,0,059.jpg,29.2931330059982,29.8255462929992,31.920340335997,NaN,1,,
17,1,0,030.jpg,31.9368634469974,32.4686331800003,32.7682720239973,NaN,1,,
18,1,0,046.jpg,32.7848550909985,33.3170416239991,35.4120842329976,NaN,1,,
19,1,0,046.jpg,35.4285102709982,35.9607348479985,36.9583522309986,NaN,0,,
20,1,0,053.jpg,36.9750239339992,37.5070945259977,39.8016274319998,NaN,1,,
21,1,0,048.jpg,39.81846391,40.3503797439989,42.8447354349992,NaN,1,,
22,1,0,048.jpg,42.8613118559988,43.3933457040002,45.2890080260004,NaN,0,,
23,1,0,028.jpg,45.3049841110005,45.8372572589979,46.9348116090005,NaN,1,,
24,1,0,058.jpg,46.951518935999,47.4835985499994,48.7805219189977,NaN,1,,
25,1,0,051.jpg,48.7969840439982,49.3289705789975,51.2246729830003,NaN,1,,
26,1,0,050.jpg,51.2405021669983,51.7733396219992,53.5691760869995,NaN,1,,
27,1,0,050.jpg,53.5858314139987,54.1180395640004,55.6141254579998,NaN,0,,
28,1,0,054.jpg,55.6312005619984,56.1633592679973,56.2627681949998,NaN,1,,
29,1,0,029.jpg,56.2796246759972,56.8116672119977,58.9068848999996,NaN,1,,
30,1,0,017.jpg,58.9230682689995,56.8116672119977,59.4553763749973,NaN,1,,
31,1,0,017.jpg,59.4720637199971,60.0040794419983,61.9993277489993,NaN,0,,
32,1,0,025.jpg,62.0161406749976,62.5480982970003,63.8451898459971,NaN,1,,
33,1,0,056.jpg,63.8617055049981,64.393751757998,66.4888992429987,NaN,1,,
34,1,0,023.jpg,66.5053050280003,67.0374587949991,68.1350298249999,NaN,1,,
35,1,0,018.jpg,68.1515421059994,68.6825770639989,69.2821151349999,NaN,1,,
36,1,0,018.jpg,69.2984017509989,69.8309211470005,71.5269149339983,NaN,0,,
37,1,0,047.jpg,71.5436661659987,72.0756429539979,72.7739866970005,NaN,1,,
