Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,RT,Accuracy,experiment,Clock_1,Clock_2,dataOneMinPress
513,1,1,7351.jpg,8.24690640984045,8.76455840871495,9.56454186610063,NaN,1,1,,,
514,1,1,7351.jpg,9.57630463289388,10.0939620654826,11.7880893760157,0.57656726204732,1,1,,,
515,1,1,7340.jpg,11.7998524446884,12.3410580513009,13.6116339879518,NaN,1,1,,,
516,1,1,5270.jpg,13.6233985659783,14.1410671678605,15.0589418279415,NaN,1,1,,,
517,1,1,5270.jpg,15.0707224052312,15.5881232461252,18.0119076656265,0.599834694570745,1,1,,,
518,1,1,4651.jpg,18.0236716399231,18.5411029699462,19.0354446703859,NaN,1,1,,,
519,1,1,4653.jpg,19.0469614110189,19.5648651716328,21.7646390087029,NaN,1,1,,,
520,1,1,4653.jpg,21.7764038886089,22.2940767166874,24.0943267275579,0.600371725886362,1,1,,,
521,1,1,1720.jpg,24.1060934186971,24.6235199187649,25.2825708434539,NaN,1,1,,,
522,1,1,7460.jpg,25.3178685018938,25.8472675701923,27.7884833197313,NaN,1,1,,,
523,1,1,7330.jpg,27.8002663119842,28.3176502480201,30.3178893310978,NaN,1,1,,,
524,1,1,5628.jpg,30.3296647765383,30.8473173791717,31.3529777918448,NaN,1,1,,,
525,1,1,5628.jpg,31.3647257668781,31.8823868219333,32.3764951748744,NaN,0,1,31.5648965663859,,
526,1,1,7450.jpg,32.3882579416677,32.9059126573993,33.9061620041466,NaN,1,1,,,
527,1,1,4531.jpg,33.9297125931625,34.4470986422966,35.9529893837462,NaN,1,1,,,
528,1,1,4531.jpg,35.9647551692615,36.5294751401962,37.682411937727,0.62365636517643,1,1,,,
529,1,1,7430.jpg,37.6941780251218,38.2118484382372,38.9062106056226,NaN,1,1,,,
530,1,1,4608.jpg,38.9298212672875,39.4473974961438,39.9532652952767,NaN,1,1,,,
531,1,1,7402.jpg,39.976833996654,40.4944506764296,42.4944793543254,NaN,1,1,,,
532,1,1,7340.jpg,42.5062907226093,43.0239074023993,45.1062769572163,NaN,1,1,,,
533,1,1,4653.jpg,45.1180376109114,45.635664554371,45.9297787032556,NaN,1,1,,,
534,1,1,4651.jpg,45.9415626011323,46.4589836674859,47.2356698069489,NaN,1,1,,,
535,1,1,5270.jpg,47.2474313662533,47.7651078168128,48.3650943532994,NaN,1,1,,,
536,1,1,4534.jpg,48.3768516863784,48.8942721490021,50.0592512473377,NaN,1,1,,,
537,1,1,5628.jpg,50.0710082785517,50.6354939963639,52.4357316304522,NaN,1,1,,,
538,1,1,7460.jpg,52.4474708511843,52.965128585638,54.5651616105024,NaN,1,1,,,
539,1,1,7430.jpg,54.5769367540779,55.094556754455,56.6357460599538,NaN,1,1,,,
540,1,1,7402.jpg,56.6475036949269,57.1651795417274,58.6593026864284,NaN,1,1,57.6591650325281,,
541,1,1,7351.jpg,-0.4236654817214,0.105764679450658,0.693988449143944,NaN,1,1,,,59.0946337319619
542,1,1,4640.jpg,0.705762988975039,1.22340985601477,1.75280288686918,NaN,1,1,,,
543,1,1,1720.jpg,1.76461244390521,2.28198853124923,2.8116647185816,NaN,1,1,,,
544,1,1,4611.jpg,2.82341782544972,3.34083375998307,5.02346697030589,NaN,1,1,,,
545,1,1,7330.jpg,5.0351986442256,5.55284641688922,6.72930965364503,NaN,1,1,,,
546,1,1,4531.jpg,6.74109777773265,7.25854208828241,9.71759488458338,NaN,1,1,,,
547,1,1,4656.jpg,9.72937365062535,10.2470141783415,11.8470040354296,NaN,1,1,,,
548,1,1,7350.jpg,11.8587840089604,12.3761824348767,14.0705612052698,NaN,1,1,,,
549,1,1,2240.jpg,14.0823118971603,14.5999735559599,15.5529556947586,NaN,1,1,,,
550,1,1,4608.jpg,15.5647115184838,16.0823215570854,18.6235458798037,NaN,1,1,,,
551,1,1,7450.jpg,18.6353192121314,19.1529537024035,21.788251783466,NaN,1,1,,,
552,1,1,5622.jpg,21.8000214933272,22.3174492008839,22.6118166208616,NaN,1,1,,,
553,1,1,7230.jpg,22.6235588603158,23.1413267782627,23.3647408605029,NaN,1,1,,,
