Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,StimDuration,NoiseDuration,RT,Accuracy,experiment,Clock_1,Clock_2,dataClockPressEXP_1,dataClockPressEXP_2,dataClockPressEXP_3,dataClockPressEXP_4,dataClockPressEXP_5,dataOneMinPress_1,dataOneMinPress_2,dataOneMinPressEXP_1,dataOneMinPressEXP_2,dataOneMinPressEXP_3,dataOneMinPressEXP_4
1,1,0,4001.jpg,0.00892607500099984,0.658683990001009,3.23489004099974,0.649757915000009,2.57620605099874,NaN,1,0,,,,,,,,,,,,,
2,1,0,2312.jpg,-3.21115963099874,-2.57907869399969,0.0152918960011448,0.632080936999046,2.59437059000084,NaN,1,0,3.31872287500119,,-3.31869388300038,,,,,6.46154855200075,,12905.435067879,,,
3,1,0,2312.jpg,0.0316459719997511,0.663194316999579,3.15765753699998,0.631548344999828,2.4944632200004,NaN,0,0,,,-3.31869388300038,,,,,,,12905.435067879,,,
4,1,0,2850.jpg,3.1741783030011,3.80619430099978,6.59952680500101,0.632015997998678,2.79333250400123,NaN,1,0,6.43249832900074,,-3.31869388300038,-12.8953958279999,,,,,,12905.435067879,,,
5,1,0,4180.jpg,6.61621095600094,7.2478566310001,9.44289940400085,0.631645674999163,2.19504277300075,NaN,1,0,,,-3.31869388300038,-12.8953958279999,,,,,,12905.435067879,,,
6,1,0,4180.jpg,-1.4146769300005,-0.782690901000024,0.713277356000617,0.631986029000473,1.49596825700064,NaN,0,0,,,-3.31869388300038,-12.8953958279999,,,,10.8732169220002,,12905.435067879,12901.023399509,,
7,1,0,5535.jpg,0.729882592000649,1.36187106800026,2.65850710999985,0.631988475999606,1.29663604199959,NaN,1,0,,,-3.31869388300038,-12.8953958279999,,,,,,12905.435067879,12901.023399509,,
8,1,0,4003.jpg,2.67499022700031,3.30617134299973,5.60212572599994,0.631181115999425,2.29595438300021,NaN,1,0,,,-3.31869388300038,-12.8953958279999,,,,,,12905.435067879,12901.023399509,,
9,1,0,4003.jpg,5.61855879200084,6.25037514600081,8.34568783500072,0.631816353999966,2.09531268899991,NaN,0,0,,,-3.31869388300038,-12.8953958279999,,,,,,12905.435067879,12901.023399509,,
10,1,0,4003.jpg,8.36216896599944,8.99409537999964,11.2885123649994,0.631926414000191,2.29441698499977,NaN,0,0,,,-3.31869388300038,-12.8953958279999,,,,,,12905.435067879,12901.023399509,,
11,1,0,4530.jpg,11.3049913260002,11.937003383,12.6351541530003,0.632012056999883,0.698150770000211,NaN,1,0,,,-3.31869388300038,-12.8953958279999,,,,,,12905.435067879,12901.023399509,,
12,1,0,7496.jpg,12.6521860590001,13.2838838589996,14.3814669389994,0.631697799999529,1.09758307999982,NaN,1,0,,,-3.31869388300038,-12.8953958279999,,,,,,12905.435067879,12901.023399509,,
13,1,0,7237.jpg,14.3976780600005,15.02953901,17.4239977510006,0.631860949999464,2.39445874100056,NaN,1,0,,,-3.31869388300038,-12.8953958279999,,,,,,12905.435067879,12901.023399509,,
