Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,RT,Accuracy,Clock,dataOneMinPress
1,1,1,033.jpg,0.0196066370008339,0.551645365001605,1.85164536500088,NaN,1,,
2,1,1,039.jpg,1.3679065819997,1.89882636200127,2.598826362002,NaN,1,,
3,1,1,039.jpg,2.11575100199843,2.64653355599876,3.84653355599949,NaN,0,,
4,1,1,038.jpg,3.36245091100136,3.89412847100175,6.79412847100321,NaN,1,,
5,1,1,066.jpg,6.30541740699846,6.83646107900131,9.83646107900131,NaN,1,6.95355219900011,
6,1,1,044.jpg,9.34886120800002,9.87978412599841,11.3797841259984,NaN,1,,
7,1,1,037.jpg,10.8954668859988,9.87978412599841,10.3797841259984,NaN,1,,
8,1,1,045.jpg,11.4441933490016,11.9748209509999,13.5748209509984,NaN,1,,
9,1,1,034.jpg,13.0910272299989,13.621031622999,16.0210316230005,NaN,1,,
10,1,1,072.jpg,15.5329000989987,16.06545052,16.6654505199986,NaN,1,,
11,1,1,068.jpg,16.1825120180001,16.06545052,16.56545052,NaN,1,,
12,1,1,032.jpg,16.7316100169992,17.2623897550002,20.0623897549995,NaN,1,,
13,1,1,062.jpg,19.5748545030001,20.1056841889986,21.6056841889986,NaN,1,,
14,1,1,036.jpg,21.1197527510012,21.6519382400002,22.8519382400009,NaN,1,22.3007086319994,
15,1,1,036.jpg,22.3673571030013,22.8989569180012,23.6989569180005,NaN,0,,
16,1,1,069.jpg,23.2159225379983,23.7471632980014,26.1471632980029,NaN,1,,
17,1,1,063.jpg,25.6608069260001,26.191326772001,28.9913267720003,NaN,1,,
18,1,1,071.jpg,28.5037387410011,29.034637323999,31.2346373239998,NaN,1,,
