Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,RT,Accuracy,Clock_1,Clock_2,dataOneMinPress
1,1,1,033.jpg,0.0233570909995251,0.871017008999843,1.0543302039996,NaN,1,,,
2,1,1,041.jpg,1.07097628999963,1.60305567199975,2.20146969399957,NaN,1,,,
3,1,1,035.jpg,2.21814363900012,2.75032361899957,5.04414987000018,NaN,1,3.69832873099949,,
4,1,1,036.jpg,5.06152364099944,5.59359662799943,7.38931970900012,NaN,1,,,
5,1,1,071.jpg,7.40581658100018,7.9381480739994,9.33476859699931,NaN,1,9.30185702499966,,
6,1,1,070.jpg,9.35152572599964,9.88326397299988,10.282515551,NaN,1,,,
7,1,1,070.jpg,10.2990929299995,10.8312829959996,11.3299238879999,NaN,0,,,
8,1,1,031.jpg,11.3465806479999,11.8787920499999,12.0772280430001,NaN,1,,,
9,1,1,061.jpg,12.0949752159995,12.6269925910001,14.921496549,NaN,1,,,
10,1,1,067.jpg,14.9383087269998,15.4705100159999,17.2659259020002,NaN,1,15.55378337,,
11,1,1,034.jpg,17.2828450119996,17.8148584350001,19.2110376820001,NaN,1,,,
12,1,1,039.jpg,-0.0845531380000466,0.447627601000022,1.24582673900022,NaN,1,,,19.3112364019998
13,1,1,074.jpg,1.26254075300039,1.79425433899996,2.19366558599995,NaN,1,,,
14,1,1,043.jpg,2.21014547199957,2.74229932300022,4.33830743700037,NaN,1,,,
15,1,1,042.jpg,4.35488666699985,4.88700033999976,7.38132775000031,NaN,1,5.11974538800041,,
16,1,1,063.jpg,7.39784273999976,7.92990718900001,8.32917211200038,NaN,1,,,
17,1,1,062.jpg,8.34566386299957,8.87770703499973,9.47623867699986,NaN,1,,,
18,1,1,072.jpg,9.49312025699965,10.0247726730004,11.0228401260001,NaN,1,10.9231578859999,,
19,1,1,075.jpg,11.0395280399998,11.5712079249997,11.671169022,NaN,1,,,
20,1,1,064.jpg,11.6877240699996,12.2197637859999,13.9158359169996,NaN,1,,,
21,1,1,069.jpg,13.9326174489997,14.4647969750004,15.4611260720003,NaN,1,,,
22,1,1,068.jpg,15.4790443169995,16.0105081809998,18.5051469740001,NaN,1,17.6904402729997,17.8569140119998,
23,1,1,038.jpg,18.5217042129998,19.0538578180003,20.0514020190003,NaN,1,,,
24,1,1,032.jpg,-0.582851668999865,-0.0506698050003251,1.54543458300031,NaN,1,,,20.650061022
25,1,1,065.jpg,1.56176148800023,2.09312821200001,2.49222638300034,NaN,1,,,
26,1,1,066.jpg,2.50985067200054,3.04184083400014,3.93864605500039,NaN,1,,,
27,1,1,044.jpg,3.95628328400016,4.48773982400053,4.88748631199996,NaN,1,,,
28,1,1,045.jpg,4.90421194400005,5.43606333800017,7.33190283899967,NaN,1,,,
29,1,1,037.jpg,7.34836813499987,7.88046499200027,10.0754967969997,NaN,1,,,
30,1,1,037.jpg,10.0919857870003,10.6240379720002,11.5218360670005,NaN,0,,,
31,1,1,040.jpg,11.5384808119998,12.0705611049998,13.7666975120001,NaN,1,,,
32,1,1,073.jpg,13.783084783,14.3151702780006,15.0137603989997,NaN,1,,,
33,1,1,039.jpg,15.0305063249998,15.5622346999999,16.8595527150001,NaN,1,,,
34,1,1,040.jpg,16.876086534,17.407623694,19.502420365,NaN,1,,,
35,1,1,063.jpg,19.5193202689998,20.0518932209998,21.5484773870003,NaN,1,,,
36,1,1,031.jpg,21.5651801800004,22.0970350879998,22.8951031380002,NaN,1,,,
37,1,1,045.jpg,22.9117582429999,23.4437699549999,24.1422164109999,NaN,1,,,
38,1,1,064.jpg,24.1587510720001,24.6908142279999,25.788247079,NaN,1,,,
39,1,1,043.jpg,25.8052729970004,26.3370305730004,27.3345689690004,NaN,1,,,
40,1,1,033.jpg,27.3514167060002,27.8832584560005,28.7813230769998,NaN,1,,,
41,1,1,041.jpg,28.7978019410002,29.3298872980004,30.7270380380005,NaN,1,,,
