Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,StimDuration,NoiseDuration,RT,Accuracy,experiment,Clock,dataOneMinPress
1,1,1,4611.jpg,0.00916314100004456,0.690873120000106,2.63682270900017,0.681709979000061,1.94594958900007,NaN,1,0,,
2,1,1,5622.jpg,2.65351960899989,3.28512803700005,4.08357022300015,0.631608428000163,0.798442186000102,NaN,1,0,,
3,1,1,7350.jpg,4.09997197800021,4.73210159000018,7.62491591300022,0.632129611999972,2.89281432300004,NaN,1,0,,
4,1,1,5628.jpg,7.64153927000007,8.27319366000029,10.8676107589999,0.631654390000222,2.59441709899966,NaN,1,0,,
5,1,1,7460.jpg,10.8839365180002,11.515621951,12.812837084,0.631685432999802,1.29721513300001,NaN,1,0,,
6,1,1,2240.jpg,12.8294001849999,13.4612865650001,15.4565743510002,0.631886380000196,1.99528778600006,NaN,1,0,,
7,1,1,1720.jpg,15.4731272419999,16.104623141,19.0979271239999,0.631495899000129,2.99330398299981,NaN,1,0,,
8,1,1,7330.jpg,19.114574313,19.7466648550003,22.1403851119999,0.632090542000242,2.39372025699959,NaN,1,0,,
9,1,1,4531.jpg,22.1569759990002,22.7892205880003,25.482643029,0.632244589000038,2.69342244099971,NaN,1,0,,
10,1,1,4656.jpg,25.499526866,26.1309303779999,27.8273678200003,0.631403511999906,1.69643744200039,NaN,1,0,,
11,1,1,4656.jpg,27.8438990489999,28.4756522060002,30.2714582900003,0.631753157000276,1.79580608400011,NaN,0,0,,
12,1,1,5270.jpg,30.288475333,30.920142248,32.9154867030002,0.631666915000096,1.99534445500012,NaN,1,0,,
13,1,1,4534.jpg,32.9319593610003,33.5638161770003,34.8605578500001,0.631856815999981,1.29674167299981,NaN,1,0,,
14,1,1,7402.jpg,34.8775946979999,35.5090248890001,37.9029617800002,0.631430191000163,2.39393689100007,NaN,1,0,,
15,1,1,4651.jpg,37.9204402740002,38.552063994,40.4476865510001,0.63162371999988,1.89562255700002,NaN,1,0,,
16,1,1,4608.jpg,40.4642274090002,41.0960000260002,43.2907953490003,0.631772617000024,2.19479532300011,NaN,1,0,,
17,1,1,7230.jpg,43.307731638,43.9396481190001,45.3351637250003,0.631916481000189,1.39551560600012,NaN,1,0,,
18,1,1,7230.jpg,45.3529230990002,45.9842650579999,46.9820683850003,0.631341958999656,0.997803327000383,NaN,0,0,,
19,1,1,7430.jpg,46.999004969,47.6304976370002,49.4266330410001,0.631492668000192,1.79613540399987,NaN,1,0,,
20,1,1,4640.jpg,49.443056907,50.074624632,51.5714292030002,0.631567724999968,1.49680457100021,NaN,1,0,,
21,1,1,4653.jpg,51.5879698920003,52.2199344820001,54.7140640500002,0.631964589999825,2.49412956800006,NaN,1,0,,
22,1,1,7340.jpg,54.7305973930002,55.3622730510001,57.8567132850003,0.631675657999949,2.49444023400019,NaN,1,0,,
23,1,1,7351.jpg,57.8732875700002,58.5053459720002,60.799651113,0.632058401999984,2.29430514099977,NaN,1,0,,
1,1,1,4531.jpg,0.0117585529997086,0.644003231999704,1.84118694699964,0.632244678999996,1.19718371499994,NaN,1,1,,
2,1,1,4531.jpg,1.8578517269998,2.48947008100004,4.38555357299992,0.631618354000238,1.89608349199989,NaN,0,1,,
3,1,1,7230.jpg,4.4019330189999,5.0331119059997,7.42822714099975,0.631178886999805,2.39511523500005,NaN,1,1,,
4,1,1,7402.jpg,7.44444086499971,8.07651436600008,8.97440630999972,0.632073501000377,0.897891943999639,NaN,1,1,,
5,1,1,7351.jpg,8.99124541799983,9.62300706799988,11.9175565239998,0.631761650000044,2.29454945599991,NaN,1,1,,
6,1,1,5628.jpg,11.9339747629997,12.565894761,13.3640095309997,0.631919998000285,0.798114769999756,NaN,1,1,,
7,1,1,4534.jpg,13.380799351,14.0125753479997,14.7109183929997,0.63177599699975,0.698343045000001,NaN,1,1,,
8,1,1,5622.jpg,14.7276843949999,15.3594517689999,17.7537312099998,0.631767373999992,2.39427944099998,NaN,1,1,,
9,1,1,7430.jpg,17.7706574599997,18.4021376319997,19.8988521779997,0.63148017200001,1.49671454600002,NaN,1,1,,
10,1,1,4611.jpg,19.9154319300001,20.547269185,22.5427657279997,0.631837254999937,1.99549654299972,NaN,1,1,,
11,1,1,4640.jpg,22.5591207990001,23.1904111280001,23.8896805079999,0.631290328999967,0.699269379999805,NaN,1,1,,
12,1,1,4640.jpg,23.9061074169999,24.5378044909999,27.4310676969999,0.631697073999931,2.89326320600003,NaN,0,1,,
13,1,1,5270.jpg,27.4476924410001,28.0792105269998,30.8729672069999,0.631518085999687,2.79375668000012,NaN,1,1,,
14,1,1,7330.jpg,30.8897280759998,31.5214174329999,32.9182313809997,0.631689357000141,1.39681394799982,NaN,1,1,,
15,1,1,7330.jpg,32.934937947,33.5665963060001,35.3622721510001,0.631658359000085,1.79567584500001,NaN,0,1,,
16,1,1,1720.jpg,35.3787973569997,36.0106680109998,38.4052224869997,0.631870654000068,2.39455447599994,NaN,1,1,,
17,1,1,1720.jpg,38.4217332339999,39.0535126899999,39.8519682599999,0.631779456000004,0.798455569999987,NaN,0,1,,
18,1,1,7340.jpg,39.8684135079998,40.5003554519999,42.9944347400001,0.631941944000118,2.49407928800019,NaN,1,1,,
19,1,1,7340.jpg,43.0112008470001,43.6423954489997,45.0395952029999,0.631194601999596,1.39719975400021,NaN,0,1,,
20,1,1,7350.jpg,45.055972999,45.6879491669997,48.4812857090001,0.63197616799971,2.79333654200036,NaN,1,1,,
