Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,RT,Accuracy,experiment,Clock,dataOneMinPress
1,1,1,4611.jpg,0.0124997279999661,0.677385009999853,2.6398845870026,NaN,1,0,,
2,1,1,5622.jpg,2.65629710700159,3.2884716869994,4.08628942699943,NaN,1,0,,
3,1,1,7350.jpg,4.10293181100133,4.7347382959997,7.62830319800196,NaN,1,0,,
4,1,1,5628.jpg,7.64422980900054,8.27654206599982,10.8702950430015,NaN,1,0,,
5,1,1,7460.jpg,10.886986321002,11.5186546460027,12.8155587340007,NaN,1,0,,
6,1,1,2240.jpg,12.8325641800002,13.4639844430021,15.4597504660014,NaN,1,0,,
7,1,1,1720.jpg,15.4761937690018,16.1077583469996,19.1005516950027,NaN,1,0,,
8,1,1,7330.jpg,19.1172243830006,19.7490323230013,22.1437676580026,NaN,1,0,,
9,1,1,4531.jpg,22.1600222090019,22.7923159109996,25.4861840890007,NaN,1,0,,
10,1,1,4656.jpg,25.5025279300025,26.1344600090015,27.8304904830002,NaN,1,0,,
11,1,1,4656.jpg,27.8470850369995,28.4787505860004,30.2746144730008,NaN,0,0,,
12,1,1,5270.jpg,30.2914242330007,30.9231334489996,32.9181795380027,NaN,1,0,,
13,1,1,4534.jpg,32.9352426810001,33.566878544003,34.863955801,NaN,1,0,,
14,1,1,7402.jpg,34.8803163560005,35.5121638439996,37.9066095510025,NaN,1,0,,
15,1,1,4651.jpg,37.9228428269998,38.5551439570008,40.4509054170012,NaN,1,0,,
16,1,1,4608.jpg,40.4671948940013,41.0991790070002,43.294043291,NaN,1,0,,
17,1,1,7230.jpg,43.3105548010026,43.9422746090022,45.3392052620002,NaN,1,0,,
18,1,1,7230.jpg,45.3557596089995,45.9871229400014,46.9852576840021,NaN,0,0,,
19,1,1,7430.jpg,47.0019652770025,47.6336449299997,49.4295864770029,NaN,1,0,,
20,1,1,4640.jpg,49.4461285470024,50.0771619450024,51.5746559370018,NaN,1,0,,
21,1,1,4653.jpg,51.5910603820012,52.2226680340027,54.7171876020002,NaN,1,0,,
22,1,1,7340.jpg,54.7336809240005,55.3654984620007,57.8597031540012,NaN,1,0,,
23,1,1,7351.jpg,57.8764121150016,58.5080832519998,60.8026757780026,NaN,1,0,,
24,1,1,7351.jpg,60.8195063150015,61.4512451390001,62.4487679640006,NaN,0,0,,
25,1,1,7450.jpg,62.4644636209996,63.097001514001,63.7954878840028,NaN,1,0,,
26,1,1,4651.jpg,63.8121950429995,64.4443153960019,66.4394938510013,NaN,1,0,,
27,1,1,4651.jpg,66.4562876090022,67.0879351340009,68.4842394360021,NaN,0,0,,
28,1,1,4651.jpg,68.5008359599997,69.1328385080014,72.0262026439996,NaN,0,0,,
29,1,1,4608.jpg,72.0427400610024,72.6737950410024,75.6666813030024,NaN,1,0,,
30,1,1,4608.jpg,75.6832813569999,76.3149360220013,77.6132221820008,NaN,0,0,,
31,1,1,7350.jpg,77.6299628880006,78.2614525370009,80.8556640910028,NaN,1,0,,
32,1,1,5270.jpg,80.8719819610014,81.5038828899997,84.2973343230005,NaN,1,0,,
33,1,1,4611.jpg,84.3140639230005,84.9457047370015,87.0408105429997,NaN,1,0,,
34,1,1,4611.jpg,87.0574887520015,87.6890757399997,90.4828151200018,NaN,0,0,,
35,1,1,7450.jpg,90.4993479450022,91.1310440170018,94.0243070720026,NaN,1,0,,
36,1,1,5622.jpg,94.0410040780007,94.6728477920005,96.6680428360014,NaN,1,0,,
37,1,1,4656.jpg,96.6848403110016,97.3165036980026,99.7112399230027,NaN,1,0,,
38,1,1,4640.jpg,99.7275293679995,100.359087504003,102.354647798002,NaN,1,0,,
39,1,1,1720.jpg,102.371394221002,103.003032725002,103.701768482002,NaN,1,0,,
40,1,1,2240.jpg,103.718278161003,104.350311821003,106.046018893001,NaN,1,0,,
41,1,1,7330.jpg,106.062726878001,106.694312922002,108.889594938002,NaN,1,0,,
42,1,1,4653.jpg,108.905892625,109.537527478002,111.43333987,NaN,1,0,,
43,1,1,7430.jpg,111.450066986999,112.081675211,113.578292180002,NaN,1,0,,
44,1,1,7460.jpg,113.594982552,114.227038986002,117.120151382001,NaN,1,0,,
45,1,1,7230.jpg,117.136686927002,117.768256885,120.362392333001,NaN,1,0,,
46,1,1,7402.jpg,120.379169283002,121.010981246,123.704323549002,NaN,1,0,,
47,1,1,7351.jpg,123.721351325003,124.352785582003,125.849373001001,NaN,1,0,,
48,1,1,4531.jpg,125.866132583,126.497588562001,128.592888605002,NaN,1,0,,
49,1,1,4531.jpg,128.609842540001,129.240880317,131.935304324001,NaN,0,0,,
50,1,1,4534.jpg,131.951692421,132.583588056001,135.475715570999,NaN,1,0,,
51,1,1,5628.jpg,135.493292651001,136.125068671001,138.419988728001,NaN,1,0,,
52,1,1,7340.jpg,138.436315256,139.067920005,140.165382259001,NaN,1,0,,
53,1,1,4653.jpg,140.181993859002,140.813646702001,143.008662063003,NaN,1,0,,
54,1,1,7450.jpg,143.025050589,143.656548182,144.455025968,NaN,1,0,,
55,1,1,7450.jpg,144.47126957,145.103842574001,146.700072618001,NaN,0,0,,
56,1,1,4640.jpg,146.716609772,147.348909388002,149.642323738,NaN,1,0,,
57,1,1,7402.jpg,149.659831854002,150.290793907003,153.184164104001,NaN,1,0,,
58,1,1,4608.jpg,153.201436883002,153.833672582001,156.427293338002,NaN,1,0,,
59,1,1,5622.jpg,156.444034608001,157.075676030003,158.871828618001,NaN,1,0,,
60,1,1,7330.jpg,158.888154854001,159.519805093001,162.014101017001,NaN,1,0,,
61,1,1,2240.jpg,162.030866964,162.662552502999,164.358598076,NaN,1,0,,
62,1,1,5270.jpg,164.375022200002,165.007144077001,167.999871052001,NaN,1,0,,
63,1,1,4531.jpg,168.016991936001,168.648703401002,171.641306742,NaN,1,0,,
64,1,1,4611.jpg,171.658239957,172.289716766001,174.983588519,NaN,1,0,,
65,1,1,7351.jpg,175.000429577001,175.632084465,177.228319797003,NaN,1,0,,
66,1,1,7430.jpg,177.245296197001,177.876938401001,179.572634627002,NaN,1,0,,
67,1,1,1720.jpg,179.589314110002,180.221414287,181.4186032,NaN,1,0,,
68,1,1,5628.jpg,181.434919384999,182.066677381001,184.56113215,NaN,1,0,,
69,1,1,5628.jpg,184.577586878,185.209318661,188.002163145,NaN,0,0,,
70,1,1,7350.jpg,188.052559080003,188.684462083002,191.478050809001,NaN,1,0,,
71,1,1,7350.jpg,191.494742116,192.126738811003,194.121961166002,NaN,0,0,,
72,1,1,4651.jpg,194.187770447003,194.820139107,196.915188678002,NaN,1,0,,
73,1,1,7230.jpg,196.931901638,197.563396381,198.561230181,NaN,1,0,,
74,1,1,7460.jpg,198.578148403001,199.209587500001,202.002743951001,NaN,1,0,,
75,1,1,4534.jpg,202.019876759001,202.651856273002,204.347466001,NaN,1,0,,
76,1,1,4656.jpg,204.364200979002,204.995737348003,206.093643989003,NaN,1,0,,
77,1,1,7340.jpg,206.110403463001,206.742032859001,209.535726278002,NaN,1,0,,
78,1,1,5628.jpg,209.552259162003,210.183858014003,212.678263001002,NaN,1,0,,
79,1,1,5628.jpg,212.695012083001,213.326098121001,216.119794488,NaN,0,0,,
80,1,1,7230.jpg,216.136647341002,216.768387914002,218.065415343,NaN,1,0,,
81,1,1,7230.jpg,218.082218408003,218.713811877002,221.008481247001,NaN,0,0,,
82,1,1,4534.jpg,221.025246585999,221.656303591,223.851694643003,NaN,1,0,,
83,1,1,4531.jpg,223.868086555001,224.500011194003,225.397111485003,NaN,1,0,,
84,1,1,4651.jpg,225.413734595,226.046332255002,227.642727253002,NaN,1,0,,
85,1,1,7450.jpg,227.659288823001,228.29123803,229.588258697,NaN,1,0,,
86,1,1,5270.jpg,229.604851603002,230.236425478,232.631022047,NaN,1,0,,
87,1,1,4656.jpg,232.647886895,233.279503556001,234.576531276001,NaN,1,0,,
88,1,1,4656.jpg,234.593130567002,235.22510394,238.018451163,NaN,0,0,,
89,1,1,7350.jpg,238.034887455,238.667155368003,241.260932903002,NaN,1,0,,
90,1,1,4640.jpg,241.276842533,241.908535949002,243.505549441001,NaN,1,0,,
91,1,1,7340.jpg,243.5209445,244.153667174,245.949189187002,NaN,1,0,,
92,1,1,2240.jpg,245.966270617002,246.597693162003,248.892657156,NaN,1,0,,
93,1,1,7330.jpg,248.909511022001,249.541314841001,252.234859380002,NaN,1,0,,
