Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,RT,Accuracy,Clock_1,Clock_2,dataOneMinPress_1,dataOneMinPress_2
1,1,0,018.jpg,0.0272892396777138,0.686025524495278,1.050678895305,NaN,1,,,,
2,1,0,026.jpg,1.0624615679057,1.57988426826648,2.17985389993117,NaN,1,,,,
3,1,0,020.jpg,2.19162298828644,2.70927420584235,5.00339847633063,NaN,1,,,,
4,1,0,021.jpg,5.01520046874703,5.53281727288123,7.33282306882592,NaN,1,,,,
5,1,0,056.jpg,7.34458642161087,7.86224126163228,9.26224355586038,NaN,1,,,,
6,1,0,055.jpg,9.27400841800596,9.79166265428307,10.1916613260457,NaN,1,,,,
7,1,0,055.jpg,10.2034240750864,10.7210786132357,11.215193767186,NaN,0,,,,
8,1,0,016.jpg,11.2269583274594,11.7446140730971,11.9446266913517,0.317696860620515,0,,,,
9,1,0,046.jpg,11.9563740449144,12.4740460916466,14.768153155424,NaN,1,,,,
10,1,0,052.jpg,14.7799153007205,15.297570442614,17.0975750310702,NaN,1,,,,
11,1,0,019.jpg,17.1093398932157,17.6270113362037,19.0269958199767,NaN,1,,,,
12,1,0,024.jpg,19.0387621914829,19.5564149183994,20.3564170918787,NaN,1,,,,
13,1,0,059.jpg,20.368178935303,20.8858328697081,21.2858315414707,NaN,1,,,,
14,1,0,028.jpg,21.2975994223375,21.8152503380213,23.4152552887241,NaN,1,,,,
15,1,0,027.jpg,23.4270192452533,23.9446737834026,26.4388022197261,NaN,1,,,,
16,1,0,048.jpg,26.4505631575341,26.9682201106603,27.3682148580854,NaN,1,,,,
17,1,0,047.jpg,27.3799791164867,27.8976327490196,28.4976331716405,NaN,1,,,,
18,1,0,057.jpg,28.5094022599958,29.0270522700632,30.027051666319,NaN,1,28.5212281003097,,,
19,1,0,060.jpg,30.0388180378252,30.5564704628696,30.6505845300802,NaN,1,,,,
20,1,0,049.jpg,30.6623487884815,31.1800003079096,32.8741256651375,NaN,1,,,,
21,1,0,054.jpg,32.8858890179225,33.4035444616881,34.4035456691765,NaN,1,,,,
22,1,0,053.jpg,34.4153105313221,34.9329635601108,37.4270907889458,NaN,1,,,,
23,1,0,023.jpg,37.438854745475,37.9565089817521,38.9565107929848,NaN,1,,,,
24,1,0,017.jpg,38.9682738438977,39.4859289857912,41.085931521517,NaN,1,,,,
25,1,0,050.jpg,41.0976991005116,41.6153545442772,42.0153498954466,NaN,1,,,,
26,1,0,051.jpg,42.0271153613364,42.5919325883331,43.438887347664,NaN,1,,,,
27,1,0,029.jpg,43.4506519079375,43.9683058423424,44.3683039103609,NaN,1,,,,
28,1,0,030.jpg,44.3800657537852,44.8977236125278,46.7918461925322,NaN,1,,,,
29,1,0,022.jpg,46.8036098471893,47.3212658946991,49.5212721736393,NaN,1,,,,
30,1,0,022.jpg,49.5330370357848,50.0506906683177,50.9448120408337,0.8589273094953,1,,,,
31,1,0,025.jpg,50.9565753936186,51.474250459072,53.168350760914,NaN,1,,,,
32,1,0,058.jpg,53.1801132080826,53.697785858559,54.3918882735057,NaN,1,,,,
33,1,0,024.jpg,54.4036522300351,54.9213058625679,56.2154268124629,NaN,1,,,,
34,1,0,025.jpg,56.2271922783526,56.7448459108855,58.8389732604694,NaN,1,,,,
35,1,0,048.jpg,58.8507369151265,59.3684065468818,60.8625334738448,NaN,1,59.7214133894172,,,
36,1,0,016.jpg,60.8743360700054,61.3919329505796,62.1919324072098,NaN,1,,,,
37,1,0,030.jpg,62.2036957599947,62.7213524112489,63.4155215399342,NaN,1,,,,
38,1,0,049.jpg,63.4272845908471,63.944890829457,65.0390504793578,NaN,1,,,,
39,1,0,028.jpg,65.0508126246543,65.5684433149061,66.5684279194279,NaN,1,,,,
40,1,0,018.jpg,66.5919582474633,67.1096272754743,68.0037326487678,NaN,1,,,,
41,1,0,026.jpg,68.0272617693148,68.5449307973257,69.9449179979479,NaN,1,,,,
