Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,RT,Accuracy,Clock,dataOneMinPress
1,1,0,9045.jpg,0.00891520799996215,0.590644989002612,1.63774457700129,NaN,1,,
2,1,0,7130.jpg,1.65515676200084,2.1869922549995,3.68378382300216,NaN,1,,
3,1,0,8050.jpg,3.69945957100208,4.23269033199904,6.42747628500001,NaN,1,,
4,1,0,8050.jpg,6.443879172999,6.97623060800106,8.67222944899913,NaN,0,,
5,1,0,5535.jpg,8.68857796800148,9.22066962600002,10.5177061360009,NaN,1,,
6,1,0,4001.jpg,10.5344387240002,11.0661006930022,11.7646552709994,NaN,1,,
7,1,0,4003.jpg,11.7815305399999,12.3133366530019,14.1092497770005,NaN,1,,
8,1,0,4490.jpg,14.1256976000004,14.6580936169994,15.5556965610012,NaN,1,,
9,1,0,7190.jpg,15.5722849560007,16.1040244880023,17.5011550920026,NaN,1,,
10,1,0,7180.jpg,17.5170149180012,18.0498081090009,20.3444588070015,NaN,1,,
11,1,0,4180.jpg,20.360105349002,20.8929060100018,22.987628425999,NaN,1,,
12,1,0,8116.jpg,23.004459224001,23.5368444300002,25.8316971200002,NaN,1,,
13,1,0,7237.jpg,25.8482372700018,26.3804519320001,28.7745551810003,NaN,1,,
14,1,0,4530.jpg,28.7911156190021,29.3231114070004,31.4184992310002,NaN,1,,
15,1,0,6314.jpg,31.4348864320018,29.3231114070004,31.967262178001,NaN,1,,
16,1,0,2312.jpg,31.9836715540005,29.3231114070004,32.5158527509993,NaN,1,,
17,1,0,2312.jpg,32.5326789480023,33.0647139050016,33.2642658360019,NaN,0,,
18,1,0,7820.jpg,33.2806239810016,33.8125619950006,34.4114098030004,NaN,1,,
19,1,0,4525.jpg,34.4279267830025,33.8125619950006,34.960148178001,NaN,1,,
20,1,0,2850.jpg,34.9768693850019,35.5086501590013,36.6061520299991,NaN,1,,
21,1,0,4000.jpg,36.6227164219999,37.1547652810004,37.9529260880008,NaN,1,,
22,1,0,4520.jpg,37.9695864070018,38.5017719870011,39.898473194,NaN,1,,
23,1,0,7830.jpg,39.9146166530008,40.446979291999,42.8414088070022,NaN,1,,
24,1,0,7496.jpg,42.8581687139995,43.3900175060007,44.0884247020003,NaN,1,,
25,1,0,4490.jpg,44.1041661359995,44.6368746389999,45.4352934359995,NaN,1,,
26,1,0,6314.jpg,45.4519694250012,45.9843207199992,48.1788534190018,NaN,1,,
27,1,0,4525.jpg,48.1956029310022,48.7275472290021,49.525803348999,NaN,1,,
28,1,0,4530.jpg,49.542346006001,50.0744134689994,50.3735713230017,NaN,1,,
