Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,RT,Accuracy,Clock_1,Clock_2,dataOneMinPress_1,dataOneMinPress_2
1,1,2,081.jpg,0.00671725842175874,0.524340401870631,2.42998030888157,NaN,1,,,,
2,1,2,078.jpg,2.44175120846967,2.95939910543211,4.95940574661881,NaN,1,,,,
3,1,2,003.jpg,4.97116759004348,5.48882454316936,5.5829386103801,NaN,1,,,,
4,1,2,013.jpg,5.59469954818815,6.11235559569786,6.60646924028742,NaN,1,,,,
5,1,2,009.jpg,6.61823138558429,7.13590765852587,8.23000904710761,NaN,1,,,,
6,1,2,079.jpg,8.24176998491566,8.75945863461448,8.85353828840334,NaN,1,,,,
7,1,2,085.jpg,8.86530284867695,9.38295829244225,10.7829593791821,NaN,1,,,,
8,1,2,076.jpg,10.7947233357113,11.3124014198856,11.7123738287742,NaN,1,,,,
9,1,2,076.jpg,11.7241389927917,12.2417926253247,14.641800655123,1.12949830966727,1,,,,
10,1,2,084.jpg,14.6535640079078,15.1712182441852,15.7712165537014,NaN,1,,,,
11,1,2,014.jpg,15.7829802083584,16.3006353502519,16.7006319089096,NaN,1,,,,
12,1,2,008.jpg,16.7123964691832,17.2300654971941,18.1241690592551,NaN,1,,,,
13,1,2,089.jpg,18.1359330157843,18.6535872520612,20.9477097113167,NaN,1,,,,
14,1,2,012.jpg,20.9594748753343,21.4771300172279,23.2771330963237,NaN,1,,,,
15,1,2,087.jpg,23.2888994678297,23.8065540059788,25.1006710315364,NaN,1,,,,
16,1,2,001.jpg,25.1124352899378,25.6300895262148,27.6300940542965,NaN,1,,,,
17,1,2,007.jpg,27.6418586145701,28.1595140583358,29.8536333781212,NaN,1,,,,
18,1,2,082.jpg,29.8653979383948,30.3830521746718,32.6771776526484,1.03537850688599,0,,,,
19,1,2,010.jpg,32.6889425147942,33.2065955435828,35.1007175198429,NaN,1,,,,
20,1,2,086.jpg,35.1124823819887,35.63013722201,36.3242517118415,NaN,1,,,,
21,1,2,077.jpg,36.3360099328002,36.8536711121365,37.1477854208447,NaN,1,,,,
22,1,2,083.jpg,37.1595614522585,37.6772054248836,38.8772059682533,NaN,1,,,,
23,1,2,083.jpg,38.8889696229107,37.6772054248836,39.4066223498271,NaN,0,,,,
24,1,2,002.jpg,39.4183820801468,39.9360402407615,40.3360367994192,0.0471083518655178,0,,,,
25,1,2,002.jpg,40.3478137364496,40.8654583128186,42.9595790212161,0.647130811151328,1,,,,
26,1,2,090.jpg,42.9713435814892,43.4889975158944,45.6890031910903,NaN,1,,,,
27,1,2,004.jpg,45.7007677513639,46.2184186670474,48.4184711324219,NaN,1,47.724387735419,,,
28,1,2,080.jpg,48.4301928268546,48.9478470631316,51.4419730844779,NaN,1,,,,
29,1,2,006.jpg,51.4537385503681,51.9713915791567,52.5713907942891,NaN,1,,,,
30,1,2,011.jpg,52.5831547508183,53.1008098927118,53.994927039018,NaN,1,,,,
31,1,2,011.jpg,54.0066915992916,54.5243464393129,54.7243415489843,0.600084343070193,1,,,,
32,1,2,088.jpg,54.7361064111301,55.2537760428854,55.6537608285303,NaN,1,,,,
33,1,2,088.jpg,55.6655480292129,56.1831778138485,56.6772935715426,0.470656973351652,1,,,,
34,1,2,015.jpg,56.7008251070665,57.2184730040294,59.3125994479969,NaN,1,,,,
35,1,2,015.jpg,59.3243637063979,59.8420197539081,61.3361406434283,0.635404890509562,1,,,,
36,1,2,005.jpg,61.3596884800468,61.8773236983802,61.9714368599748,NaN,1,,,,
37,1,2,078.jpg,61.9832053445857,62.5008511284432,63.1949719575896,NaN,1,,,,
38,1,2,010.jpg,-0.424076293952567,-1.12996198524434,0.0935737161148609,NaN,1,,,63.4773742317734,0.152568584590881
39,1,2,003.jpg,0.105342502597978,0.622993720154227,2.51711630015825,NaN,1,,,,
40,1,2,084.jpg,2.52888055855965,3.04653690794157,3.54065055253159,NaN,1,,,,
41,1,2,086.jpg,3.55241360344417,4.07006965095388,4.96418830662105,NaN,1,,,,
42,1,2,088.jpg,4.97594984817306,5.49360499006661,7.69364990863824,NaN,1,,,,
43,1,2,001.jpg,7.70541416703963,8.22304878162868,10.5171567510224,NaN,1,,,,
44,1,2,089.jpg,10.5289415367283,11.0465785662946,12.4465766343128,NaN,1,,,,
45,1,2,005.jpg,12.4583408927142,12.9759975439683,14.0701146299002,NaN,1,,,,
46,1,2,087.jpg,14.0818794920456,14.5995358414275,15.5995352376835,NaN,1,,,,
47,1,2,002.jpg,15.6112982885961,16.1289679203514,18.0230772179825,NaN,1,,,,
48,1,2,002.jpg,18.0348420801283,18.5524999388708,20.0466181115421,0.9530253774833,1,,,,
49,1,2,090.jpg,20.0583811624551,20.5877966384123,20.6701491640706,NaN,1,,,,
50,1,2,082.jpg,20.6819137243442,21.1995685643656,22.5995705567216,NaN,1,,,,
51,1,2,077.jpg,22.6113357207391,23.1289736559215,25.1289962963306,NaN,1,,,,
52,1,2,085.jpg,25.1525405104835,25.6701811625153,28.0701879848252,NaN,1,,,,
53,1,2,004.jpg,28.081952846971,28.5996131206903,30.0937276708964,NaN,1,,,,
54,1,2,076.jpg,30.1172733944099,28.5996131206903,30.6349068015106,NaN,1,,,,
55,1,2,009.jpg,30.6466798142037,31.164339484179,32.6585159181695,NaN,1,,,,
56,1,2,013.jpg,32.681988890502,33.1996316556388,34.0937494056889,NaN,1,,,,
