Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,RT,Accuracy,Clock_1,Clock_2,dataOneMinPress_1,dataOneMinPress_2
1,1,2,4320.jpg,0.0137935385635046,0.531414238440675,2.13118215754344,NaN,1,,,,
2,1,2,9360.jpg,2.14294498825416,2.66060312053423,4.66062727047142,NaN,1,,,,
3,1,2,2490.jpg,4.67239311992444,5.19005064845601,7.08419090766938,NaN,1,,,,
4,1,2,7920.jpg,7.09595404025436,7.61361338003121,8.90774452264327,NaN,1,,,,
5,1,2,2221.jpg,8.91951007022203,9.43716367438878,11.8371953108067,NaN,1,,,,
6,1,2,9042.jpg,11.848963273379,12.3666205000366,13.6607519445229,NaN,1,,,,
7,1,2,5120.jpg,13.6725153789819,14.1901732093877,15.4843064651193,NaN,1,,,,
8,1,2,9331.jpg,15.496070503327,16.0137289374813,16.9078528954869,NaN,1,,,,
9,1,2,9700.jpg,16.9196181411914,17.4372753678488,18.4372862353207,NaN,1,18.3550122289246,,,
10,1,2,8465.jpg,18.4490535941445,18.9667253107643,19.96671927328,NaN,1,,,,
11,1,2,9001.jpg,19.9784854246072,20.4961432550131,22.1902800728603,NaN,1,,,,
12,1,2,4561.jpg,22.2020441110681,22.7197140164426,24.9197515695951,NaN,1,,,,
13,1,2,4561.jpg,24.9314938728589,25.4491510995165,27.7432964302166,NaN,0,,,,
14,1,2,7234.jpg,27.7550592609275,28.2727192044529,29.6727348415372,1.15303785080027,0,,,,
15,1,2,4571.jpg,29.6844994834933,30.202168483245,32.2021790488427,NaN,1,,,,
16,1,2,9101.jpg,32.2139464076668,32.7316042380726,33.7316129924247,NaN,1,,,,
17,1,2,2720.jpg,33.743377936255,34.2610366722836,36.5552275859905,NaN,1,,,,
18,1,2,9000.jpg,36.5669478524367,37.0846156446917,37.7787277088532,NaN,1,,,,
19,1,2,1945.jpg,37.790492048935,38.3081495774666,40.6022958137894,NaN,1,39.1552907380765,,,
20,1,2,1945.jpg,40.6140613613682,41.1317197955225,41.3317178031527,0.682441606960992,1,,,,
21,1,2,4635.jpg,41.3434833507313,41.8611402755146,43.261155912599,NaN,1,,,,
22,1,2,4635.jpg,43.2729214601777,43.790577177464,44.4847049390849,0.623651301470318,1,,,,
23,1,2,9561.jpg,44.4964677697956,45.0141259020756,47.0141482407676,NaN,1,44.5083136159158,,,
24,1,2,9561.jpg,47.0259125808495,45.0141259020756,47.543567090639,NaN,0,,,,
25,1,2,9390.jpg,47.5553422981925,48.0729904686234,49.3671357993237,0.164751777888341,0,,,,
26,1,2,7700.jpg,49.3788865550657,49.8965658185409,50.7906752865842,NaN,1,,,,
27,1,2,2221.jpg,50.8024347966787,51.3200986645688,53.6142409765268,NaN,1,50.9319080442838,,,
28,1,2,9561.jpg,53.6260025997408,54.1436866932033,54.3436602490222,NaN,1,,,,
29,1,2,9101.jpg,54.3554224759844,54.8730899663651,55.873098116969,NaN,1,55.8261255832965,,,
30,1,2,7920.jpg,55.8848727207742,56.4025299474317,57.8025320001764,NaN,1,,,,
31,1,2,2490.jpg,-0.765541239338518,-0.247883710806946,1.04624894117637,NaN,1,,,58.5791043271254,
32,1,2,2490.jpg,1.05801297938388,1.57566779104764,2.37567491527898,NaN,0,,,,
33,1,2,5120.jpg,2.38744257597727,2.90510251950263,3.79922647750823,NaN,1,,,,
34,1,2,8465.jpg,3.81099111946446,4.32866585482634,6.72867877504291,NaN,1,,,,
35,1,2,8465.jpg,6.74044251137616,7.25811452987023,7.95222448091226,0.917776406598023,1,,,,
36,1,2,7700.jpg,7.96399002849103,8.48164725514835,10.7757904727291,NaN,1,,,,
37,1,2,9001.jpg,10.7875575296789,8.48164725514835,11.3052111338457,NaN,1,,,,
38,1,2,4561.jpg,11.3169839264056,11.8346366249498,13.2346507526631,NaN,1,,,,
39,1,2,4561.jpg,13.2464159983676,13.7640735268992,14.6582014092696,0.98835791897568,1,,,,
40,1,2,4320.jpg,14.6699690699679,15.1876362584744,16.8817576807367,NaN,1,,,,
41,1,2,9700.jpg,16.8935277564287,17.4111849830861,18.9053265101711,NaN,1,,,,
